	ID	POEM_NUMBER	POEM	STANZA	LINE_ORDER	LINE_IN_SOURCE	LINE	ALIGNMENT	RHYME	RHYME_WORD	RHYMEIDS	VOWEL
39	40	3	卷耳	3.1	2	不盈頃a筐	不 + 盈 + 頃 + 筐	不 + 盈 + 頃 + 筐	3.1.a	筐	0 0 0 11	a
40	41	3	卷耳	3.1	3	嗟我懷人	嗟 + 我 + 懷 + 人	嗟 + 我 + 懷 + 人		人	0 0 0 0	i
41	42	3	卷耳	3.1	4	寘彼周a行	寘 + 彼 + 周 + 行	寘 + 彼 + 周 + 行	3.1.a	行	0 0 0 11	a
47	50	3	卷耳	3.3	2	我馬玄a黃	我 + 馬 + 玄 + 黃	我 + 馬 + 玄 + 黃	3.3.a	黃	0 0 0 13	a
48	51	3	卷耳	3.3	3	我姑酌彼兕a觥	我 + 姑 + 酌 + 彼 + 兕 + 觥	我 + 姑 + 酌 + 彼 + 兕 + 觥	3.3.a	觥	0 0 0 0 0 13	a
49	52	3	卷耳	3.3	4	維以不永a傷	維 + 以 + 不 + 永 + 傷	維 + 以 + 不 + 永 + 傷	3.3.a	傷	0 0 0 0 13	a
59	62	4	樛木	4.2	2	葛藟a荒之	葛 + 藟 + 荒 + 之	葛 + 藟 + 荒 + 之	4.2.a	荒	0 0 16 0	a
61	64	4	樛木	4.2	4	福履a將之	福 + 履 + 將 + 之	福 + 履 + 將 + 之	4.2.a	將	0 0 16 0	a
65	68	4	樛木	4.3	4	福履a成之	福 + 履 + 成 + 之	福 + 履 + 成 + 之	4.3.a	成	0 0 17 0	e
71	76	5	螽斯	5.2	2	a薨a薨兮	薨 + 薨 + 兮	薨 + 薨 + 兮	5.2.a	薨	19 19 0	ə
73	79	5	螽斯	5.2	5	a繩a繩兮	繩 + 繩 + 兮	繩 + 繩 + 兮	5.2.a	繩	19 19 0	ə
89	98	6	桃夭	6.3	4	宜其家a人	宜 + 其 + 家 + 人	宜 + 其 + 家 + 人	6.3.a	人	0 0 0 23	i
91	100	7	兔罝	7.1	2	椓之丁b丁	椓 + 之 + 丁 + 丁	椓 + 之 + 丁 + 丁	7.1.b	丁	0 0 0 25	e
93	102	7	兔罝	7.1	4	公侯干b城	公 + 侯 + 干 + 城	公 + 侯 + 干 + 城	7.1.b	城	0 0 0 25	e
118	129	9	漢廣	9.1	7	漢之b廣矣	漢 + 之 + 廣 + 矣	漢 + 之 + 廣 + 矣	9.1.b	廣	0 0 34 0	a
120	132	9	漢廣	9.1	10	江之b永矣	江 + 之 + 永 + 矣	江 + 之 + 永 + 矣	9.1.b	永	0 0 34 0	a
121	133	9	漢廣	9.1	11	不可c方x?d思	不 + 可 + 方 + 思	不 + 可 + 方 + 思	9.1.c	方	0 0 35 0	a
126	139	9	漢廣	9.2	5	漢之b廣矣	漢 + 之 + 廣 + 矣	漢 + 之 + 廣 + 矣	9.2.b	廣	0 0 37 0	a
128	141	9	漢廣	9.2	7	江之b永矣	江 + 之 + 永 + 矣	江 + 之 + 永 + 矣	9.2.b	永	0 0 37 0	a
129	142	9	漢廣	9.2	8	不可c方思	不 + 可 + 方 + 思	不 + 可 + 方 + 思	9.2.c	方	0 0 38 0	a
134	147	9	漢廣	9.3	5	漢之b廣矣	漢 + 之 + 廣 + 矣	漢 + 之 + 廣 + 矣	9.3.b	廣	0 0 40 0	a
136	149	9	漢廣	9.3	7	江之b永矣	江 + 之 + 永 + 矣	江 + 之 + 永 + 矣	9.3.b	永	0 0 40 0	a
137	150	9	漢廣	9.3	8	不可c方思	不 + 可 + 方 + 思	不 + 可 + 方 + 思	9.3.c	方	0 0 41 0	a
153	166	11	麟之趾	11.2	1	麟之a定	麟 + 之 + 定	麟 + 之 + 定	11.2.a	定	0 0 46	e
154	167	11	麟之趾	11.2	2	振振公a姓	振 + 振 + 公 + 姓	振 + 振 + 公 + 姓	11.2.a	姓	0 0 0 46	e
164	177	12	鵲巢	12.2	2	維鳩a方之	維 + 鳩 + 方 + 之	維 + 鳩 + 方 + 之	12.2.a	方	0 0 49 0	a
166	179	12	鵲巢	12.2	4	百兩a將之	百 + 兩 + 將 + 之	百 + 兩 + 將 + 之	12.2.a	將	0 0 49 0	a
168	181	12	鵲巢	12.3	2	維鳩a盈之	維 + 鳩 + 盈 + 之	維 + 鳩 + 盈 + 之	12.3.a	盈	0 0 50 0	e
170	183	12	鵲巢	12.3	4	百兩a成之	百 + 兩 + 成 + 之	百 + 兩 + 成 + 之	12.3.a	成	0 0 50 0	e
173	186	13	采蘩	13.1	3	于以用之	于 + 以 + 用 + 之	于 + 以 + 用 + 之		用	0 0 0 0	o
176	189	13	采蘩	13.2	2	于澗之a中	于 + 澗 + 之 + 中	于 + 澗 + 之 + 中	13.2.a	中	0 0 0 52	u
177	190	13	采蘩	13.2	3	于以用之	于 + 以 + 用 + 之	于 + 以 + 用 + 之		用	0 0 0 0	o
178	191	13	采蘩	13.2	4	公侯之a宮	公 + 侯 + 之 + 宮	公 + 侯 + 之 + 宮	13.2.a	宮	0 0 0 52	u
180	193	13	采蘩	13.3	2	夙夜在a公	夙 + 夜 + 在 + 公	夙 + 夜 + 在 + 公	13.3.a	公	0 0 0 53	o
183	198	14	草蟲	14.1	1	喓喓草a蟲	喓 + 喓 + 草 + 蟲	喓 + 喓 + 草 + 蟲	14.1.a	蟲	0 0 0 55	u
184	199	14	草蟲	14.1	2	趯趯阜a螽	趯 + 趯 + 阜 + 螽	趯 + 趯 + 阜 + 螽	14.1.a	螽	0 0 0 55	u
186	201	14	草蟲	14.1	4	憂心忡a忡	憂 + 心 + 忡 + 忡	憂 + 心 + 忡 + 忡	14.1.a	忡	0 0 0 55	u
189	204	14	草蟲	14.1	7	我心則a降	我 + 心 + 則 + 降	我 + 心 + 則 + 降	14.1.a	降	0 0 0 55	u
208	223	15	采蘋	15.2	1	于以x?b盛之	于 + 以 + 盛 + 之	于 + 以 + 盛 + 之		盛	0 0 0 0	e
216	231	16	甘棠	16.1	1	蔽芾甘棠	蔽 + 芾 + 甘 + 棠	蔽 + 芾 + 甘 + 棠		棠	0 0 0 0	a
219	234	16	甘棠	16.2	1	蔽芾甘棠	蔽 + 芾 + 甘 + 棠	蔽 + 芾 + 甘 + 棠		棠	0 0 0 0	a
222	237	16	甘棠	16.3	1	蔽芾甘棠	蔽 + 芾 + 甘 + 棠	蔽 + 芾 + 甘 + 棠		棠	0 0 0 0	a
237	252	17	行露	17.3	4	何以速我b訟	何 + 以 + 速 + 我 + 訟	何 + 以 + 速 + 我 + 訟	17.3.b	訟	0 0 0 0 68	o
238	253	17	行露	17.3	5	雖速我b訟	雖 + 速 + 我 + 訟	雖 + 速 + 我 + 訟	17.3.b	訟	0 0 0 68	o
239	254	17	行露	17.3	6	亦不女b從	亦 + 不 + 女 + 從	亦 + 不 + 女 + 從	17.3.b	從	0 0 0 68	o
242	257	18	羔羊	18.1	3	退食自公	退 + 食 + 自 + 公	退 + 食 + 自 + 公		公	0 0 0 0	o
248	263	18	羔羊	18.3	1	羔羊之a縫	羔 + 羊 + 之 + 縫	羔 + 羊 + 之 + 縫	18.3.a	縫	0 0 0 71	o
249	264	18	羔羊	18.3	2	素絲五a總	素 + 絲 + 五 + 總	素 + 絲 + 五 + 總	18.3.a	總	0 0 0 71	o
251	266	18	羔羊	18.3	4	退食自a公	退 + 食 + 自 + 公	退 + 食 + 自 + 公	18.3.a	公	0 0 0 71	o
253	268	19	殷其雷	19.1	2	在南山之a陽	在 + 南 + 山 + 之 + 陽	在 + 南 + 山 + 之 + 陽	19.1.a	陽	0 0 0 0 72	a
282	297	21	小星	21.1	1	嘒彼小a星	嘒 + 彼 + 小 + 星	嘒 + 彼 + 小 + 星	21.1.a	星	0 0 0 78	e
283	298	21	小星	21.1	2	三五在b東	三 + 五 + 在 + 東	三 + 五 + 在 + 東	21.1.b	東	0 0 0 79	o
284	299	21	小星	21.1	3	肅肅宵a征	肅 + 肅 + 宵 + 征	肅 + 肅 + 宵 + 征	21.1.a	征	0 0 0 78	e
285	300	21	小星	21.1	4	夙夜在b公	夙 + 夜 + 在 + 公	夙 + 夜 + 在 + 公	21.1.b	公	0 0 0 79	o
286	301	21	小星	21.1	5	寔命不b同	寔 + 命 + 不 + 同	寔 + 命 + 不 + 同	21.1.b	同	0 0 0 79	o
287	302	21	小星	21.2	1	嘒彼小a星	嘒 + 彼 + 小 + 星	嘒 + 彼 + 小 + 星	21.2.a	星	0 0 0 80	e
289	304	21	小星	21.2	3	肅肅宵a征	肅 + 肅 + 宵 + 征	肅 + 肅 + 宵 + 征	21.2.a	征	0 0 0 80	e
331	349	25	騶虞	25.2	2	壹發五a豵	壹 + 發 + 五 + 豵	壹 + 發 + 五 + 豵	25.2.a	豵	0 0 0 93	o
368	386	27	綠衣	27.2	2	綠兮黃a裳	綠 + 兮 + 黃 + 裳	綠 + 兮 + 黃 + 裳	27.2.a	裳	0 0 0 101	a
370	388	27	綠衣	27.2	4	曷維其a亡	曷 + 維 + 其 + 亡	曷 + 維 + 其 + 亡	27.2.a	亡	0 0 0 101	a
373	391	27	綠衣	27.3	3	我思古人	我 + 思 + 古 + 人	我 + 思 + 古 + 人		人	0 0 0 0	i
377	395	27	綠衣	27.4	3	我思古人	我 + 思 + 古 + 人	我 + 思 + 古 + 人		人	0 0 0 0	i
388	406	28	燕燕	28.2	4	遠于b將之	遠 + 于 + 將 + 之	遠 + 于 + 將 + 之	28.2.b	將	0 0 107 0	a
398	416	28	燕燕	28.4	2	其心塞a淵	其 + 心 + 塞 + 淵	其 + 心 + 塞 + 淵	28.4.a	淵	0 0 0 111	i
400	418	28	燕燕	28.4	4	淑慎其a身	淑 + 慎 + 其 + 身	淑 + 慎 + 其 + 身	28.4.a	身	0 0 0 111	i
402	420	28	燕燕	28.4	6	以勗寡a人	以 + 勗 + 寡 + 人	以 + 勗 + 寡 + 人	28.4.a	人	0 0 0 111	i
405	423	29	日月	29.1	3	乃如之人兮	乃 + 如 + 之 + 人 + 兮	乃 + 如 + 之 + 人 + 兮		人	0 0 0 0 0	i
407	425	29	日月	29.1	5	胡能有定	胡 + 能 + 有 + 定	胡 + 能 + 有 + 定		定	0 0 0 0	e
411	429	29	日月	29.2	3	乃如之人兮	乃 + 如 + 之 + 人 + 兮	乃 + 如 + 之 + 人 + 兮		人	0 0 0 0 0	i
413	431	29	日月	29.2	5	胡能有定	胡 + 能 + 有 + 定	胡 + 能 + 有 + 定		定	0 0 0 0	e
416	434	29	日月	29.3	2	出自東a方	出 + 自 + 東 + 方	出 + 自 + 東 + 方	29.3.a	方	0 0 0 114	a
417	435	29	日月	29.3	3	乃如之人兮	乃 + 如 + 之 + 人 + 兮	乃 + 如 + 之 + 人 + 兮		人	0 0 0 0 0	i
418	436	29	日月	29.3	4	德音無a良	德 + 音 + 無 + 良	德 + 音 + 無 + 良	29.3.a	良	0 0 0 114	a
419	437	29	日月	29.3	5	胡能有定	胡 + 能 + 有 + 定	胡 + 能 + 有 + 定		定	0 0 0 0	e
420	438	29	日月	29.3	6	俾也可a忘	俾 + 也 + 可 + 忘	俾 + 也 + 可 + 忘	29.3.a	忘	0 0 0 114	a
425	443	29	日月	29.4	5	胡能有定	胡 + 能 + 有 + 定	胡 + 能 + 有 + 定		定	0 0 0 0	e
443	461	31	擊鼓	31.1	1	擊鼓其a鏜	擊 + 鼓 + 其 + 鏜	擊 + 鼓 + 其 + 鏜	31.1.a	鏜	0 0 0 120	a
444	462	31	擊鼓	31.1	2	踊躍用a兵	踊 + 躍 + 用 + 兵	踊 + 躍 + 用 + 兵	31.1.a	兵	0 0 0 120	a
446	464	31	擊鼓	31.1	4	我獨南a行	我 + 獨 + 南 + 行	我 + 獨 + 南 + 行	31.1.a	行	0 0 0 120	a
447	465	31	擊鼓	31.2	1	從孫子a仲	從 + 孫 + 子 + 仲	從 + 孫 + 子 + 仲	31.2.a	仲	0 0 0 121	u
448	466	31	擊鼓	31.2	2	平陳與a宋	平 + 陳 + 與 + 宋	平 + 陳 + 與 + 宋	31.2.a	宋	0 0 0 121	u
450	468	31	擊鼓	31.2	4	憂心有a忡	憂 + 心 + 有 + 忡	憂 + 心 + 有 + 忡	31.2.a	忡	0 0 0 121	u
470	488	32	凱風	32.2	4	我無令a人	我 + 無 + 令 + 人	我 + 無 + 令 + 人	32.2.a	人	0 0 0 129	i
473	491	32	凱風	32.3	3	有子七人	有 + 子 + 七 + 人	有 + 子 + 七 + 人		人	0 0 0 0	i
477	495	32	凱風	32.4	3	有子其人	有 + 子 + 其 + 人	有 + 子 + 其 + 人		人	0 0 0 0	i
492	510	33	雄雉	33.4	2	不知德a行	不 + 知 + 德 + 行	不 + 知 + 德 + 行	33.4.a	行	0 0 0 135	a
494	512	33	雄雉	33.4	4	何用不a臧	何 + 用 + 不 + 臧	何 + 用 + 不 + 臧	33.4.a	臧	0 0 0 135	a
499	517	34	匏有苦葉	34.2	1	有瀰濟a盈	有 + 瀰 + 濟 + 盈	有 + 瀰 + 濟 + 盈	34.2.a	盈	0 0 0 138	e
500	518	34	匏有苦葉	34.2	2	有鷕雉a鳴	有 + 鷕 + 雉 + 鳴	有 + 鷕 + 雉 + 鳴	34.2.a	鳴	0 0 0 138	e
530	549	35	谷風	35.3	5	毋逝我梁	毋 + 逝 + 我 + 梁	毋 + 逝 + 我 + 梁		梁	0 0 0 0	a
538	557	35	谷風	35.4	5	何有何b亡	何 + 有 + 何 + 亡	何 + 有 + 何 + 亡	35.4.b	亡	0 0 0 151	a
540	559	35	谷風	35.4	7	凡民有b喪	凡 + 民 + 有 + 喪	凡 + 民 + 有 + 喪	35.4.b	喪	0 0 0 151	a
551	570	35	谷風	35.6	2	亦以御a冬	亦 + 以 + 御 + 冬	亦 + 以 + 御 + 冬	35.6.a	冬	0 0 0 154	u
553	572	35	谷風	35.6	4	以我御a窮	以 + 我 + 御 + 窮	以 + 我 + 御 + 窮	35.6.a	窮	0 0 0 154	u
564	583	36	式微	36.2	3	微君之b躬	微 + 君 + 之 + 躬	微 + 君 + 之 + 躬	36.2.b	躬	0 0 0 159	u
565	584	36	式微	36.2	4	胡為乎泥b中	胡 + 為 + 乎 + 泥 + 中	胡 + 為 + 乎 + 泥 + 中	36.2.b	中	0 0 0 0 159	u
574	593	37	旄丘	37.3	1	狐裘蒙a戎	狐 + 裘 + 蒙 + 戎	狐 + 裘 + 蒙 + 戎	37.3.a	戎	0 0 0 163	u
575	594	37	旄丘	37.3	2	匪車不a東	匪 + 車 + 不 + 東	匪 + 車 + 不 + 東	37.3.a	東	0 0 0 163	o
577	596	37	旄丘	37.3	4	靡所與a同	靡 + 所 + 與 + 同	靡 + 所 + 與 + 同	37.3.a	同	0 0 0 163	o
584	603	38	簡兮	38.1	3	日之方中	日 + 之 + 方 + 中	日 + 之 + 方 + 中		中	0 0 0 0	u
597	616	38	簡兮	38.3	4	西方美a人	西 + 方 + 美 + 人	西 + 方 + 美 + 人	38.3.a	人	0 0 0 168	i
598	617	38	簡兮	38.3	5	彼美a人兮	彼 + 美 + 人 + 兮	彼 + 美 + 人 + 兮	38.3.a	人	0 0 168 0	i
599	618	38	簡兮	38.3	6	西方之a人兮	西 + 方 + 之 + 人 + 兮	西 + 方 + 之 + 人 + 兮	38.3.a	人	0 0 0 168 0	i
608	627	39	泉水	39.2	3	女子有行	女 + 子 + 有 + 行	女 + 子 + 有 + 行		行	0 0 0 0	a
645	664	41	北風	41.1	1	北風其a涼	北 + 風 + 其 + 涼	北 + 風 + 其 + 涼	41.1.a	涼	0 0 0 178	a
646	665	41	北風	41.1	2	雨雪其a雱	雨 + 雪 + 其 + 雱	雨 + 雪 + 其 + 雱	41.1.a	雱	0 0 0 178	a
648	667	41	北風	41.1	4	攜手同a行	攜 + 手 + 同 + 行	攜 + 手 + 同 + 行	41.1.a	行	0 0 0 178	a
688	707	44	二子乘舟	44.1	2	汎汎其a景	汎 + 汎 + 其 + 景	汎 + 汎 + 其 + 景	44.1.a	景	0 0 0 191	a
690	709	44	二子乘舟	44.1	4	中心養a養	中 + 心 + 養 + 養	中 + 心 + 養 + 養	44.1.a	養	0 0 0 191	a
701	720	45	柏舟	45.1	7	不諒b人只	不 + 諒 + 人 + 只	不 + 諒 + 人 + 只	45.1.b	人	0 0 194 0	i
708	727	45	柏舟	45.2	7	不諒b人只	不 + 諒 + 人 + 只	不 + 諒 + 人 + 只	45.2.b	人	0 0 196 0	i
716	735	46	牆有茨	46.2	2	不可a襄也	不 + 可 + 襄 + 也	不 + 可 + 襄 + 也	46.2.a	襄	0 0 198 0	a
718	737	46	牆有茨	46.2	4	不可a詳也	不 + 可 + 詳 + 也	不 + 可 + 詳 + 也	46.2.a	詳	0 0 198 0	a
719	738	46	牆有茨	46.2	5	所可a詳也	所 + 可 + 詳 + 也	所 + 可 + 詳 + 也	46.2.a	詳	0 0 198 0	a
720	739	46	牆有茨	46.2	6	言之a長也	言 + 之 + 長 + 也	言 + 之 + 長 + 也	46.2.a	長	0 0 198 0	a
747	766	47	君子偕老	47.3	5	子之清揚	子 + 之 + 清 + 揚	子 + 之 + 清 + 揚		揚	0 0 0 0	a
749	768	47	君子偕老	47.3	7	展如之人兮	展 + 如 + 之 + 人 + 兮	展 + 如 + 之 + 人 + 兮		人	0 0 0 0 0	i
751	770	48	桑中	48.1	1	爰采a唐矣	爰 + 采 + 唐 + 矣	爰 + 采 + 唐 + 矣	48.1.a	唐	0 0 203 0	a
752	771	48	桑中	48.1	2	沬之a鄉矣	沬 + 之 + 鄉 + 矣	沬 + 之 + 鄉 + 矣	48.1.a	鄉	0 0 203 0	a
754	773	48	桑中	48.1	4	美孟a姜矣	美 + 孟 + 姜 + 矣	美 + 孟 + 姜 + 矣	48.1.a	姜	0 0 203 0	a
755	774	48	桑中	48.1	5	期我乎桑b中	期 + 我 + 乎 + 桑 + 中	期 + 我 + 乎 + 桑 + 中	48.1.b	中	0 0 0 0 204	u
756	775	48	桑中	48.1	6	要我乎上b宮	要 + 我 + 乎 + 上 + 宮	要 + 我 + 乎 + 上 + 宮	48.1.b	宮	0 0 0 0 204	u
757	776	48	桑中	48.1	7	送我乎淇之上矣	送 + 我 + 乎 + 淇 + 之 + 上 + 矣	送 + 我 + 乎 + 淇 + 之 + 上 + 矣		上	0 0 0 0 0 0 0	a
762	781	48	桑中	48.2	5	期我乎桑b中	期 + 我 + 乎 + 桑 + 中	期 + 我 + 乎 + 桑 + 中	48.2.b	中	0 0 0 0 206	u
763	782	48	桑中	48.2	6	要我乎上b宮	要 + 我 + 乎 + 上 + 宮	要 + 我 + 乎 + 上 + 宮	48.2.b	宮	0 0 0 0 206	u
764	783	48	桑中	48.2	7	送我乎淇之上矣	送 + 我 + 乎 + 淇 + 之 + 上 + 矣	送 + 我 + 乎 + 淇 + 之 + 上 + 矣		上	0 0 0 0 0 0 0	a
766	785	48	桑中	48.3	2	沬之a東矣	沬 + 之 + 東 + 矣	沬 + 之 + 東 + 矣	48.3.a	東	0 0 207 0	o
768	787	48	桑中	48.3	4	美孟a庸矣	美 + 孟 + 庸 + 矣	美 + 孟 + 庸 + 矣	48.3.a	庸	0 0 207 0	o
769	788	48	桑中	48.3	5	期我乎桑b中	期 + 我 + 乎 + 桑 + 中	期 + 我 + 乎 + 桑 + 中	48.3.b	中	0 0 0 0 208	u
770	789	48	桑中	48.3	6	要我乎上b宮	要 + 我 + 乎 + 上 + 宮	要 + 我 + 乎 + 上 + 宮	48.3.b	宮	0 0 0 0 208	u
771	790	48	桑中	48.3	7	送我乎淇之上矣	送 + 我 + 乎 + 淇 + 之 + 上 + 矣	送 + 我 + 乎 + 淇 + 之 + 上 + 矣		上	0 0 0 0 0 0 0	a
773	794	49	鶉之奔奔	49.1	4	鵲之b彊b彊	鵲 + 之 + 彊 + 彊	鵲 + 之 + 彊 + 彊	49.1.b	彊	0 0 210 210	a
774	796	49	鶉之奔奔	49.1	6	人之無b良	人 + 之 + 無 + 良	人 + 之 + 無 + 良	49.1.b	良	0 0 0 210	a
775	797	49	鶉之奔奔	49.1	7	我以為b兄	我 + 以 + 為 + 兄	我 + 以 + 為 + 兄	49.1.b	兄	0 0 0 210	a
776	798	49	鶉之奔奔	49.2	1	鵲之a彊a彊	鵲 + 之 + 彊 + 彊	鵲 + 之 + 彊 + 彊	49.2.a	彊	0 0 211 211	a
778	803	49	鶉之奔奔	49.2	6	人之無a良	人 + 之 + 無 + 良	人 + 之 + 無 + 良	49.2.a	良	0 0 0 211	a
780	805	50	定之方中	50.1	1	定之方a中	定 + 之 + 方 + 中	定 + 之 + 方 + 中	50.1.a	中	0 0 0 213	u
781	806	50	定之方中	50.1	2	作于楚a宮	作 + 于 + 楚 + 宮	作 + 于 + 楚 + 宮	50.1.a	宮	0 0 0 213	u
789	814	50	定之方中	50.2	3	望楚與b堂	望 + 楚 + 與 + 堂	望 + 楚 + 與 + 堂	50.2.b	堂	0 0 0 216	a
790	815	50	定之方中	50.2	4	景山與b京	景 + 山 + 與 + 京	景 + 山 + 與 + 京	50.2.b	京	0 0 0 216	a
791	816	50	定之方中	50.2	5	降觀于b桑	降 + 觀 + 于 + 桑	降 + 觀 + 于 + 桑	50.2.b	桑	0 0 0 216	a
793	818	50	定之方中	50.2	7	終然允b臧	終 + 然 + 允 + 臧	終 + 然 + 允 + 臧	50.2.b	臧	0 0 0 216	a
794	819	50	定之方中	50.3	1	靈雨既a零	靈 + 雨 + 既 + 零	靈 + 雨 + 既 + 零	50.3.a	零	0 0 0 217	i
795	820	50	定之方中	50.3	2	命彼倌a人	命 + 彼 + 倌 + 人	命 + 彼 + 倌 + 人	50.3.a	人	0 0 0 217	i
797	822	50	定之方中	50.3	4	說于桑a田	說 + 于 + 桑 + 田	說 + 于 + 桑 + 田	50.3.a	田	0 0 0 217	i
798	823	50	定之方中	50.3	5	匪直也a人	匪 + 直 + 也 + 人	匪 + 直 + 也 + 人	50.3.a	人	0 0 0 217	i
799	824	50	定之方中	50.3	6	秉心塞a淵	秉 + 心 + 塞 + 淵	秉 + 心 + 塞 + 淵	50.3.a	淵	0 0 0 217	i
800	825	50	定之方中	50.3	7	騋牝三a千	騋 + 牝 + 三 + 千	騋 + 牝 + 三 + 千	50.3.a	千	0 0 0 217	i
803	829	51	蝃蝀	51.1	4	女子有行	女 + 子 + 有 + 行	女 + 子 + 有 + 行		行	0 0 0 0	a
807	834	51	蝃蝀	51.2	4	女子有行	女 + 子 + 有 + 行	女 + 子 + 有 + 行		行	0 0 0 0	a
809	836	51	蝃蝀	51.3	1	乃如之a人也	乃 + 如 + 之 + 人 + 也	乃 + 如 + 之 + 人 + 也	51.3.a	人	0 0 0 222 0	i
812	839	51	蝃蝀	51.3	4	不知a命也	不 + 知 + 命 + 也	不 + 知 + 命 + 也	51.3.a	命	0 0 222 0	i
816	844	52	相鼠	52.2	1	相鼠有a齒	相 + 鼠 + 有 + 齒	相 + 鼠 + 有 + 齒	52.2.a	齒	0 0 0 224	ə
834	864	53	干旄	53.3	1	孑孑干a旌	孑 + 孑 + 干 + 旌	孑 + 孑 + 干 + 旌	53.3.a	旌	0 0 0 230	e
835	865	53	干旄	53.3	2	在浚之a城	在 + 浚 + 之 + 城	在 + 浚 + 之 + 城	53.3.a	城	0 0 0 230	e
848	878	54	載馳	54.2	3	視而不臧	視 + 而 + 不 + 臧	視 + 而 + 不 + 臧		臧	0 0 0 0	a
852	882	54	載馳	54.2	7	視而不臧	視 + 而 + 不 + 臧	視 + 而 + 不 + 臧		臧	0 0 0 0	a
857	887	54	載馳	54.3	4	亦各有a行	亦 + 各 + 有 + 行	亦 + 各 + 有 + 行	54.3.a	行	0 0 0 236	a
859	889	54	載馳	54.3	6	眾樨且a狂	眾 + 樨 + 且 + 狂	眾 + 樨 + 且 + 狂	54.3.a	狂	0 0 0 236	a
862	892	54	載馳	54.4	3	控于大邦	控 + 于 + 大 + 邦	控 + 于 + 大 + 邦		邦	0 0 0 0	o
878	908	55	淇奧	55.2	2	綠竹青a青	綠 + 竹 + 青 + 青	綠 + 竹 + 青 + 青	55.2.a	青	0 0 0 241	e
881	911	55	淇奧	55.2	5	會弁如a星	會 + 弁 + 如 + 星	會 + 弁 + 如 + 星	55.2.a	星	0 0 0 241	e
928	958	57	碩人	57.4	1	河水洋洋	河 + 水 + 洋 + 洋	河 + 水 + 洋 + 洋		洋	0 0 0 0	a
969	1004	58	氓	58.4	5	淇水b湯b湯	淇 + 水 + 湯 + 湯	淇 + 水 + 湯 + 湯	58.4.b	湯	0 0 260 260	a
970	1006	58	氓	58.4	7	漸車帷b裳	漸 + 車 + 帷 + 裳	漸 + 車 + 帷 + 裳	58.4.b	裳	0 0 0 260	a
972	1008	58	氓	58.4	9	士貳其b行	士 + 貳 + 其 + 行	士 + 貳 + 其 + 行	58.4.b	行	0 0 0 260	a
1001	1039	59	竹竿	59.2	3	女子有行	女 + 子 + 有 + 行	女 + 子 + 有 + 行		行	0 0 0 0	a
1023	1061	61	河廣	61.1	1	誰謂河廣	誰 + 謂 + 河 + 廣	誰 + 謂 + 河 + 廣		廣	0 0 0 0	a
1024	1062	61	河廣	61.1	2	一葦a杭之	一 + 葦 + 杭 + 之	一 + 葦 + 杭 + 之	61.1.a	杭	0 0 274 0	a
1026	1064	61	河廣	61.1	4	跂予a望之	跂 + 予 + 望 + 之	跂 + 予 + 望 + 之	61.1.a	望	0 0 274 0	a
1027	1065	61	河廣	61.2	1	誰謂河廣	誰 + 謂 + 河 + 廣	誰 + 謂 + 河 + 廣		廣	0 0 0 0	a
1035	1073	62	伯兮	62.2	1	自伯之a東	自 + 伯 + 之 + 東	自 + 伯 + 之 + 東	62.2.a	東	0 0 0 278	o
1038	1076	62	伯兮	62.2	4	誰適為a容	誰 + 適 + 為 + 容	誰 + 適 + 為 + 容	62.2.a	容	0 0 0 278	o
1048	1086	63	有狐	63.1	2	在彼淇a梁	在 + 彼 + 淇 + 梁	在 + 彼 + 淇 + 梁	63.1.a	梁	0 0 0 281	a
1050	1088	63	有狐	63.1	4	之子無a裳	之 + 子 + 無 + 裳	之 + 子 + 無 + 裳	63.1.a	裳	0 0 0 281	a
1080	1120	65	黍離	65.1	12	此何d人哉	此 + 何 + 人 + 哉	此 + 何 + 人 + 哉	65.1.d	人	0 0 293 0	i
1090	1132	65	黍離	65.2	12	此何d人哉	此 + 何 + 人 + 哉	此 + 何 + 人 + 哉	65.2.d	人	0 0 297 0	i
1100	1144	65	黍離	65.3	12	此何d人哉	此 + 何 + 人 + 哉	此 + 何 + 人 + 哉	65.3.d	人	0 0 301 0	i
1117	1161	67	君子陽陽	67.1	1	君子a陽a陽	君 + 子 + 陽 + 陽	君 + 子 + 陽 + 陽	67.1.a	陽	0 0 304 304	a
1119	1164	67	君子陽陽	67.1	4	右招我由a房	右 + 招 + 我 + 由 + 房	右 + 招 + 我 + 由 + 房	67.1.a	房	0 0 0 0 304	a
1176	1225	70	兔爰	70.3	4	尚無a庸	尚 + 無 + 庸	尚 + 無 + 庸	70.3.a	庸	0 0 318	o
1178	1227	70	兔爰	70.3	6	逢此百a凶	逢 + 此 + 百 + 凶	逢 + 此 + 百 + 凶	70.3.a	凶	0 0 0 318	o
1179	1228	70	兔爰	70.3	7	尚寐無a聰	尚 + 寐 + 無 + 聰	尚 + 寐 + 無 + 聰	70.3.a	聰	0 0 0 318	o
1247	1303	76	將仲子	76.2	3	無折我樹a桑	無 + 折 + 我 + 樹 + 桑	無 + 折 + 我 + 樹 + 桑	76.2.a	桑	0 0 0 0 342	a
1249	1305	76	將仲子	76.2	5	畏我諸a兄	畏 + 我 + 諸 + 兄	畏 + 我 + 諸 + 兄	76.2.a	兄	0 0 0 342	a
