	ID	POEM_NUMBER	POEM	STANZA	LINE_ORDER	LINE_IN_SOURCE	LINE	ALIGNMENT	RHYME	RHYME_WORD	RHYMEIDS	VOWEL
6411	6718	263	常武	263.6	4	天子之b功	天 + 子 + 之 + 功	天 + 子 + 之 + 功	263.6.b	功	0 0 0 1576	o
6412	6719	263	常武	263.6	5	四方既c平	四 + 方 + 既 + 平	四 + 方 + 既 + 平	263.6.c	平	0 0 0 1577	e
6418	6725	264	瞻卬	264.1	3	孔填不a寧	孔 + 填 + 不 + 寧	孔 + 填 + 不 + 寧	264.1.a	寧	0 0 0 1579	e
6420	6727	264	瞻卬	264.1	5	邦靡有a定	邦 + 靡 + 有 + 定	邦 + 靡 + 有 + 定	264.1.a	定	0 0 0 1579	e
6426	6733	264	瞻卬	264.2	1	人有土a田	人 + 有 + 土 + 田	人 + 有 + 土 + 田	264.2.a	田	0 0 0 1582	i
6428	6735	264	瞻卬	264.2	3	人有民a人	人 + 有 + 民 + 人	人 + 有 + 民 + 人	264.2.a	人	0 0 0 1582	i
6434	6741	264	瞻卬	264.2	9	哲夫c成城	哲 + 夫 + 成 + 城	哲 + 夫 + 成 + 城	264.2.c	成	0 0 1584 0	e
6435	6742	264	瞻卬	264.2	10	哲婦c傾城	哲 + 婦 + 傾 + 城	哲 + 婦 + 傾 + 城	264.2.c	傾	0 0 1584 0	e
6456	6763	264	瞻卬	264.5	5	不弔不c祥	不 + 弔 + 不 + 祥	不 + 弔 + 不 + 祥	264.5.c	祥	0 0 0 1592	a
6458	6765	264	瞻卬	264.5	7	人之云c亡	人 + 之 + 云 + 亡	人 + 之 + 云 + 亡	264.5.c	亡	0 0 0 1592	a
6460	6767	264	瞻卬	264.6	1	天之降a罔	天 + 之 + 降 + 罔	天 + 之 + 降 + 罔	264.6.a	罔	0 0 0 1594	a
6462	6769	264	瞻卬	264.6	3	人之云a亡	人 + 之 + 云 + 亡	人 + 之 + 云 + 亡	264.6.a	亡	0 0 0 1594	a
6464	6771	264	瞻卬	264.6	5	天之降a罔	天 + 之 + 降 + 罔	天 + 之 + 降 + 罔	264.6.a	罔	0 0 0 1594	a
6466	6773	264	瞻卬	264.6	7	人之云a亡	人 + 之 + 云 + 亡	人 + 之 + 云 + 亡	264.6.a	亡	0 0 0 1594	a
6475	6782	264	瞻卬	264.7	8	無不克b鞏	無 + 不 + 克 + 鞏	無 + 不 + 克 + 鞏	264.7.b	鞏	0 0 0 1598	o
6479	6786	265	召旻	265.1	2	天篤降a喪	天 + 篤 + 降 + 喪	天 + 篤 + 降 + 喪	265.1.a	喪	0 0 0 1599	a
6481	6788	265	召旻	265.1	4	民卒流a亡	民 + 卒 + 流 + 亡	民 + 卒 + 流 + 亡	265.1.a	亡	0 0 0 1599	a
6482	6789	265	召旻	265.1	5	我居圉卒a荒	我 + 居 + 圉 + 卒 + 荒	我 + 居 + 圉 + 卒 + 荒	265.1.a	荒	0 0 0 0 1599	a
6487	6794	265	召旻	265.2	5	實靖夷我a邦	實 + 靖 + 夷 + 我 + 邦	實 + 靖 + 夷 + 我 + 邦	265.2.a	邦	0 0 0 0 1600	o
6491	6798	265	召旻	265.3	4	孔填不寧	孔 + 填 + 不 + 寧	孔 + 填 + 不 + 寧		寧	0 0 0 0	e
6496	6803	265	召旻	265.4	4	我相此邦	我 + 相 + 此 + 邦	我 + 相 + 此 + 邦		邦	0 0 0 0	o
6508	6815	265	召旻	265.6	4	不云自b中	不 + 云 + 自 + 中	不 + 云 + 自 + 中	265.6.b	中	0 0 0 1607	u
6510	6817	265	召旻	265.6	6	職兄斯b弘	職 + 兄 + 斯 + 弘	職 + 兄 + 斯 + 弘	265.6.b	弘	0 0 0 1607	ə
6511	6818	265	召旻	265.6	7	不災我b躬	不 + 災 + 我 + 躬	不 + 災 + 我 + 躬	265.6.b	躬	0 0 0 1607	u
6512	6819	265	召旻	265.7	1	昔先王受命	昔 + 先 + 王 + 受 + 命	昔 + 先 + 王 + 受 + 命		命	0 0 0 0 0	i
6513	6820	265	召旻	265.7	2	有如召公	有 + 如 + 召 + 公	有 + 如 + 召 + 公		公	0 0 0 0	o
6517	6824	265	召旻	265.7	6	維今之人	維 + 今 + 之 + 人	維 + 今 + 之 + 人		人	0 0 0 0	i
6520	6827	266	清廟	266.1	2	肅雝顯相	肅 + 雝 + 顯 + 相	肅 + 雝 + 顯 + 相		相	0 0 0 0	a
6525	6832	266	清廟	266.1	7	不顯不承	不 + 顯 + 不 + 承	不 + 顯 + 不 + 承		承	0 0 0 0	ə
6527	6834	267	維天之命	267.1	1	維天之命	維 + 天 + 之 + 命	維 + 天 + 之 + 命		命	0 0 0 0	i
6533	6840	267	維天之命	267.1	7	駿惠我文王	駿 + 惠 + 我 + 文 + 王	駿 + 惠 + 我 + 文 + 王		王	0 0 0 0 0	a
6538	6845	268	維清	268.1	4	迄用有a成	迄 + 用 + 有 + 成	迄 + 用 + 有 + 成	268.1.a	成	0 0 0 1610	e
6540	6847	269	烈文	269.1	1	烈文辟a公	烈 + 文 + 辟 + 公	烈 + 文 + 辟 + 公	269.1.a	公	0 0 0 1611	o
6542	6849	269	烈文	269.1	3	惠我無a疆	惠 + 我 + 無 + 疆	惠 + 我 + 無 + 疆	269.1.a	疆	0 0 0 1611	a
6544	6851	269	烈文	269.1	5	無封靡于爾a邦	無 + 封 + 靡 + 于 + 爾 + 邦	無 + 封 + 靡 + 于 + 爾 + 邦	269.1.a	邦	0 0 0 0 0 1611	o
6545	6852	269	烈文	269.1	6	維王其崇之	維 + 王 + 其 + 崇 + 之	維 + 王 + 其 + 崇 + 之		崇	0 0 0 0 0	u
6546	6853	269	烈文	269.1	7	念茲戎a功	念 + 茲 + 戎 + 功	念 + 茲 + 戎 + 功	269.1.a	功	0 0 0 1611	o
6547	6854	269	烈文	269.1	8	繼序其a皇之	繼 + 序 + 其 + 皇 + 之	繼 + 序 + 其 + 皇 + 之	269.1.a	皇	0 0 0 1611 0	a
6548	6855	269	烈文	269.1	9	無競維b人	無 + 競 + 維 + 人	無 + 競 + 維 + 人	269.1.b	人	0 0 0 1612	i
6551	6858	269	烈文	269.1	12	百辟其b刑之	百 + 辟 + 其 + 刑 + 之	百 + 辟 + 其 + 刑 + 之	269.1.b	刑	0 0 0 1612 0	e
6552	6859	269	烈文	269.1	13	於乎前王不忘	於 + 乎 + 前 + 王 + 不 + 忘	於 + 乎 + 前 + 王 + 不 + 忘		忘	0 0 0 0 0 0	a
